RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,ConditionNotMet
Bad,88,324.0,18,126,17,0,100,,7,8,17,0,6,,0,4,58,5,1,1,75,True
Bad,73,164.0,10,75,7,0,100,,7,8,7,2,29,1.0,1,76,14,1,2,1,75,True
Bad,68,143.0,1,52,35,0,94,1.0,4,6,36,4,19,0.0,0,7,100,5,3,0,53,False
Good,75,203.0,2,79,41,0,98,42.0,6,6,43,4,19,1.0,2,16,9,6,2,1,73,False
Bad,59,180.0,5,55,45,1,80,0.0,4,4,49,6,65,1.0,2,20,87,7,4,0,80,False
Bad,62,298.0,16,62,30,1,97,21.0,6,3,53,0,32,,1,70,56,8,3,3,79,True
Good,70,196.13915857605178,7,64,13,1,93,29.0,6,2,14,2,36,,0,54,83,4,2,0,100,True
Good,72,302.0,36,105,13,1,93,35.0,6,2,14,0,14,0.0,0,69,58,5,2,2,83,False
Bad,69,114.0,16,54,21,0,100,,7,8,21,0,48,0.0,4,57,80,8,3,2,92,True
Good,82,156.0,21,84,12,0,100,,7,8,12,0,42,0.0,0,73,68,3,2,0,100,True
Good,77,178.0,5,80,18,0,100,,7,8,18,3,39,4.0,2,24,58,4,1,0,71,True
Bad,77,316.0,4,85,53,0,100,,7,8,57,4,21,0.0,1,20,97,10,4,3,50,True
Bad,63,137.0,5,70,10,4,92,6.0,0,2,13,1,75,,1,68,90,1,3,0,100,True
Bad,64,175.0,20,115,13,0,56,35.0,6,5,16,0,19,19.0,0,85,74,9,1,6,91,False
Bad,63,327.0,13,166,14,1,94,5.0,0,2,16,0,13,5.0,0,0,58,1,1,0,27,False
Good,75,194.0,18,89,12,0,100,,7,8,12,0,17,3.0,2,87,61,1,2,1,100,True
Good,82,187.0,11,82,28,0,96,32.0,6,6,28,1,50,4.0,2,4,59,3,2,0,56,False
Bad,57,47.0,3,31,9,1,80,13.0,6,6,11,1,40,0.0,0,72,100,3,2,1,83,False
Good,75,130.0,1,61,20,0,100,,7,8,21,3,19,0.0,0,57,98,3,3,2,43,True
Bad,69,193.0,7,62,15,0,100,,7,8,16,1,44,6.0,0,77,70,5,3,4,80,True
Bad,68,86.0,7,27,11,1,92,7.0,0,2,12,3,50,0.0,1,0,95,0,3,1,50,False
