RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,ConditionNotMet,MonthsTrading,TotalNetFractionBurden,PercentSatisTrades
Bad,88,324.0,18,126,17,0,100,,7,8,17,0,6,,0,4,58,5,1,1,75,True,306.0,62,100.0
Bad,73,164.0,10,75,7,0,100,,7,8,7,2,29,-0.2725788332366598,1,76,14,1,2,1,75,True,154.0,90,100.0
Bad,68,143.0,1,52,35,0,94,1.0,4,6,36,4,19,-0.48519611654772077,0,7,100,5,3,0,53,False,142.0,107,97.22222222222223
Good,75,203.0,2,79,41,0,98,42.0,6,6,43,4,19,-0.2725788332366598,2,16,9,6,2,1,73,False,201.0,25,95.34883720930233
Bad,59,180.0,5,55,45,1,80,0.0,4,4,49,6,65,-0.2725788332366598,2,20,87,7,4,0,80,False,175.0,107,91.83673469387755
Bad,62,298.0,16,62,30,1,97,21.0,6,3,53,0,32,,1,70,56,8,3,3,79,True,282.0,126,56.60377358490566
Good,70,196.13915857605178,7,64,13,1,93,29.0,6,2,14,2,36,,0,54,83,4,2,0,100,True,189.13915857605178,137,92.85714285714286
Good,72,302.0,36,105,13,1,93,35.0,6,2,14,0,14,-0.48519611654772077,0,69,58,5,2,2,83,False,266.0,127,92.85714285714286
Bad,69,114.0,16,54,21,0,100,,7,8,21,0,48,-0.48519611654772077,4,57,80,8,3,2,92,True,98.0,137,100.0
Good,82,156.0,21,84,12,0,100,,7,8,12,0,42,-0.48519611654772077,0,73,68,3,2,0,100,True,135.0,141,100.0
Good,77,178.0,5,80,18,0,100,,7,8,18,3,39,0.36527301669652296,2,24,58,4,1,0,71,True,173.0,82,100.0
Bad,77,316.0,4,85,53,0,100,,7,8,57,4,21,-0.48519611654772077,1,20,97,10,4,3,50,True,312.0,117,92.98245614035088
Bad,63,137.0,5,70,10,4,92,6.0,0,2,13,1,75,,1,68,90,1,3,0,100,True,132.0,158,76.92307692307692
Bad,64,175.0,20,115,13,0,56,35.0,6,5,16,0,19,3.5545322663624375,0,85,74,9,1,6,91,False,155.0,159,81.25
Bad,63,327.0,13,166,14,1,94,5.0,0,2,16,0,13,0.5778903000075839,0,0,58,1,1,0,27,False,314.0,58,87.5
Good,75,194.0,18,89,12,0,100,,7,8,12,0,17,0.15265573338546204,2,87,61,1,2,1,100,True,176.0,148,100.0
Good,82,187.0,11,82,28,0,96,32.0,6,6,28,1,50,0.36527301669652296,2,4,59,3,2,0,56,False,176.0,63,100.0
Bad,57,47.0,3,31,9,1,80,13.0,6,6,11,1,40,-0.48519611654772077,0,72,100,3,2,1,83,False,44.0,172,81.81818181818181
Good,75,130.0,1,61,20,0,100,,7,8,21,3,19,-0.48519611654772077,0,57,98,3,3,2,43,True,129.0,155,95.23809523809524
Bad,69,193.0,7,62,15,0,100,,7,8,16,1,44,0.7905075833186448,0,77,70,5,3,4,80,True,186.0,147,93.75
Bad,68,86.0,7,27,11,1,92,7.0,0,2,12,3,50,-0.48519611654772077,1,0,95,0,3,1,50,False,79.0,95,91.66666666666667
Good,86,380.0,3,138,23,0,100,,7,8,23,1,13,-0.48519611654772077,1,5,99,3,2,0,42,True,377.0,104,100.0
Bad,63,10.0,2,6,1,0,100,,7,8,2,2,50,-0.48519611654772077,8,64,58,1,1,1,100,True,8.0,122,50.0
Bad,80,202.0,44,147,5,0,100,,7,8,5,0,0,-0.48519611654772077,0,77,58,3,2,1,100,True,158.0,135,100.0
Bad,58,126.0,8,58,3,2,75,70.0,6,2,5,2,50,-0.48519611654772077,1,30,50,4,2,1,100,False,118.0,80,60.0
Bad,60,170.0,7,59,21,0,96,57.0,6,6,26,3,69,-0.48519611654772077,2,88,58,7,1,3,100,False,163.0,146,80.76923076923077
Good,78,167.0,0,66,33,0,100,,7,8,56,3,29,,0,0,76,2,4,0,43,True,167.0,76,58.92857142857143
Bad,59,183.0,2,72,34,0,94,4.0,4,6,35,3,37,0.15265573338546204,1,43,87,8,2,3,63,False,181.0,130,97.14285714285714
Bad,59,153.0,18,89,31,0,79,0.0,4,5,38,0,24,,0,61,23,9,2,2,79,True,135.0,84,81.57894736842105
Good,69,196.13915857605178,3,128,25,1,100,,6,8,26,3,23,,1,45,81,3,3,1,50,True,193.13915857605178,126,96.15384615384616
Good,67,180.0,6,73,21,0,82,2.0,4,5,22,2,45,-0.2725788332366598,1,5,70,6,7,0,81,False,174.0,75,95.45454545454545
Good,79,168.0,9,58,21,0,90,76.0,6,6,21,3,38,-0.48519611654772077,0,27,88,5,3,0,62,False,159.0,115,100.0
Good,77,133.0,1,64,22,0,91,24.0,6,6,23,1,61,-0.2725788332366598,1,33,79,1,4,0,71,False,132.0,112,95.65217391304348
Good,69,196.13915857605178,8,31,7,1,78,28.0,6,2,9,2,78,,1,8,33,1,3,0,80,True,188.13915857605178,41,77.77777777777777
Bad,57,260.0,10,136,9,3,82,2.0,0,2,11,1,18,-0.48519611654772077,1,34,58,1,1,0,50,False,250.0,92,81.81818181818181
Bad,74,129.0,1,70,20,0,100,,7,8,22,3,32,,0,61,84,6,3,4,75,True,128.0,145,90.9090909090909
Bad,66,145.0,6,91,18,1,100,,6,8,19,1,21,-0.48519611654772077,2,67,8,7,2,3,69,True,139.0,75,94.73684210526316
Good,71,163.0,5,64,42,0,95,2.0,4,6,42,3,24,0.36527301669652296,3,1,58,4,1,0,31,False,158.0,59,100.0
Good,79,209.0,29,100,22,0,100,,7,8,22,0,36,-0.48519611654772077,0,56,38,4,2,2,60,True,180.0,94,100.0
Bad,58,191.0,6,92,51,0,87,9.0,4,6,53,1,26,-0.48519611654772077,3,60,58,14,2,3,85,False,185.0,118,96.22641509433963
Bad,68,180.0,1,91,9,1,82,22.0,6,3,11,2,9,-0.48519611654772077,2,27,58,4,2,1,67,False,179.0,85,81.81818181818181
Good,74,203.0,1,66,27,0,93,3.0,4,6,30,1,20,-0.48519611654772077,3,2,86,2,2,0,57,False,202.0,88,90.0
Bad,67,152.0,21,97,25,1,96,,6,7,26,0,35,-0.48519611654772077,6,59,58,7,1,2,67,True,131.0,117,96.15384615384616
Bad,68,69.0,8,42,10,0,90,,6,7,10,1,40,-0.48519611654772077,2,79,72,3,2,1,100,True,61.0,151,100.0
Bad,73,201.0,16,108,13,0,93,12.0,6,6,14,0,21,-0.48519611654772077,0,47,77,6,2,1,89,False,185.0,124,92.85714285714286
Bad,62,76.0,1,26,14,0,83,56.0,6,5,18,7,67,-0.48519611654772077,2,61,92,6,4,1,100,False,75.0,153,77.77777777777777
Bad,83,350.0,10,101,32,0,97,13.0,6,6,32,1,19,-0.48519611654772077,0,2,61,3,4,0,54,False,340.0,63,100.0
Bad,64,8.0,7,8,2,0,100,,7,8,2,2,100,,0,30,81,4,2,1,100,True,1.0,111,100.0
Good,84,186.0,15,71,15,0,100,,7,8,15,0,27,-0.48519611654772077,0,13,75,1,2,0,50,True,171.0,88,100.0
Bad,71,293.0,5,74,22,1,91,5.0,4,2,23,2,13,,1,18,94,6,2,0,47,True,288.0,112,95.65217391304348
Bad,69,167.0,12,60,9,3,90,31.0,6,2,10,0,20,-0.48519611654772077,0,84,18,2,1,2,60,False,155.0,102,90.0
Bad,87,178.0,3,91,22,0,100,,7,8,24,2,29,-0.059961549925598906,6,7,68,2,2,0,44,True,175.0,75,91.66666666666667
Good,75,342.0,26,170,13,0,69,62.0,6,5,16,0,31,-0.48519611654772077,0,70,58,4,1,1,63,False,316.0,128,81.25
Bad,69,211.0,2,69,11,0,93,13.0,6,6,12,3,36,,2,95,77,4,3,3,100,True,209.0,172,91.66666666666667
Good,81,144.0,5,61,18,0,100,,7,8,20,4,25,-0.48519611654772077,0,42,58,3,2,0,60,True,139.0,100,90.0
Good,80,190.0,4,88,30,0,100,,7,8,32,2,53,,0,62,41,2,3,0,83,True,186.0,103,93.75
Good,88,277.0,10,127,24,0,100,,7,8,25,1,40,2.06621128318501,0,2,86,3,2,0,45,True,267.0,88,96.0
Bad,77,154.0,3,55,31,0,100,,7,8,32,6,63,-0.059961549925598906,1,26,74,5,14,0,86,True,151.0,100,96.875
Bad,65,180.0,2,81,7,0,73,15.0,6,5,11,2,18,-0.48519611654772077,0,81,58,2,1,1,100,False,178.0,139,63.63636363636363
Bad,88,227.0,4,90,11,0,100,,7,8,11,1,18,,1,3,58,3,1,1,50,True,223.0,61,100.0
Bad,67,115.0,16,55,21,0,96,14.0,6,6,26,0,58,-0.48519611654772077,0,56,84,5,4,1,82,False,99.0,140,80.76923076923077
Bad,72,220.0,7,91,36,0,100,,7,8,36,4,22,-0.48519611654772077,1,44,86,7,2,2,56,True,213.0,130,100.0
Bad,59,94.0,4,33,31,0,94,11.0,4,6,31,3,29,,0,48,96,10,3,0,76,True,90.0,144,100.0
Good,75,167.0,1,70,7,0,88,13.0,6,6,8,1,25,-0.48519611654772077,0,18,100,2,2,2,57,False,166.0,118,87.5
Bad,66,77.0,5,25,8,0,100,,7,8,8,5,13,-0.48519611654772077,1,93,72,5,1,1,100,True,72.0,165,100.0
Bad,76,212.0,14,87,21,0,100,,6,7,21,0,33,,0,40,85,7,2,0,90,True,198.0,125,100.0
Good,82,144.0,9,61,24,0,96,49.0,6,5,25,1,24,-0.48519611654772077,1,5,47,4,2,0,46,False,135.0,52,96.0
Bad,88,274.0,11,105,11,0,100,,7,8,11,1,18,-0.48519611654772077,0,27,1,3,1,0,67,True,263.0,28,100.0
Bad,67,250.0,6,103,26,0,88,1.0,4,6,26,1,35,-0.48519611654772077,0,79,60,4,2,2,75,False,244.0,139,100.0
Good,71,194.0,12,69,29,0,93,6.0,4,6,31,0,27,-0.059961549925598906,2,36,69,4,2,1,67,False,182.0,105,93.54838709677419
Bad,57,204.0,6,73,28,1,97,1.0,0,2,29,6,41,-0.48519611654772077,0,14,96,4,4,1,62,False,198.0,110,96.55172413793103
Bad,67,118.0,6,37,23,2,88,70.0,6,2,26,5,42,-0.48519611654772077,0,31,70,5,3,1,67,False,112.0,101,88.46153846153847
Bad,77,216.0,8,137,10,0,100,,7,8,10,1,0,-0.48519611654772077,3,49,58,4,2,2,50,True,208.0,107,100.0
Good,85,371.0,1,141,24,0,100,,7,8,25,2,28,-0.48519611654772077,0,14,56,5,2,1,70,True,370.0,70,96.0
Good,80,208.0,12,76,30,0,97,23.0,6,5,31,0,13,-0.48519611654772077,0,1,71,5,2,0,35,False,196.0,72,96.7741935483871
Bad,59,204.0,9,70,5,1,43,10.0,0,2,7,1,29,-0.48519611654772077,0,85,48,3,2,1,100,False,195.0,133,71.42857142857143
Good,70,300.0,2,68,33,0,94,13.0,6,6,34,1,26,-0.48519611654772077,1,4,69,5,5,4,69,False,298.0,73,97.05882352941177
Good,82,205.0,2,86,30,0,97,39.0,6,6,31,4,19,-0.48519611654772077,2,2,75,7,1,0,44,False,203.0,77,96.7741935483871
Bad,75,177.0,2,84,28,0,100,,7,8,31,3,32,,0,44,97,6,3,3,77,True,175.0,141,90.3225806451613
Good,76,222.0,4,85,47,0,100,,7,8,47,2,28,-0.48519611654772077,0,37,59,4,4,0,53,True,218.0,96,100.0
Good,79,236.0,6,77,37,0,95,33.0,6,6,37,1,49,-0.48519611654772077,0,7,79,4,4,0,73,False,230.0,86,100.0
Good,70,7.0,7,7,1,0,100,,7,8,1,1,100,-0.48519611654772077,0,30,92,4,1,1,100,True,0.0,122,100.0
Bad,57,346.0,25,68,13,1,73,4.0,4,6,26,0,53,1.4283594332518275,0,0,53,2,4,0,67,False,321.0,53,50.0
Good,85,173.0,16,51,9,0,100,,7,8,28,0,0,-0.48519611654772077,1,13,58,4,2,0,80,True,157.0,71,32.142857142857146
