RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Bad,88,324,18,126,17,0,100,122.0,7,7,17,0,6,35,0,4,,5,1,1,75,False,False,100.0,12
Bad,73,164,10,75,7,0,100,122.0,7,7,7,2,29,1,1,76,14.0,1,2,1,75,False,False,100.0,5
Bad,68,143,1,52,35,0,94,1.0,6,6,36,4,19,0,0,7,100.0,5,3,0,53,True,True,97.0,19
Good,75,203,2,79,41,0,98,42.0,7,6,43,4,19,1,2,16,9.0,6,2,1,73,True,False,95.0,31
Bad,59,180,5,55,45,1,80,0.0,6,4,49,6,65,1,2,20,87.0,7,4,0,80,True,True,92.0,39
Bad,62,298,16,62,30,1,97,21.0,7,3,53,0,32,35,1,70,56.0,8,3,3,79,True,False,57.0,41
Good,70,181,7,64,13,1,93,29.0,7,2,14,2,36,35,0,54,83.0,4,2,0,100,True,False,93.0,14
Good,72,302,36,105,13,1,93,35.0,7,2,14,0,14,0,0,69,,5,2,2,83,True,False,93.0,11
Bad,69,114,16,54,21,0,100,122.0,7,7,21,0,48,0,4,57,80.0,8,3,2,92,False,False,100.0,19
Good,82,156,21,84,12,0,100,122.0,7,7,12,0,42,0,0,73,68.0,3,2,0,100,False,False,100.0,12
Good,77,178,5,80,18,0,100,122.0,7,7,18,3,39,4,2,24,,4,1,0,71,False,False,100.0,12
Bad,77,316,4,85,53,0,100,122.0,7,7,57,4,21,0,1,20,97.0,10,4,3,50,False,False,93.0,28
Bad,63,137,5,70,10,4,92,6.0,2,2,13,1,75,35,1,68,90.0,1,3,0,100,True,True,77.0,13
Bad,64,175,20,115,13,0,56,35.0,7,5,16,0,19,19,0,85,74.0,9,1,6,91,True,False,81.0,14
Bad,63,327,13,166,14,1,94,5.0,2,2,16,0,13,5,0,0,,1,1,0,27,True,True,88.0,4
