ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance,RiskPerformance
73,201,16,108,13,0,93,12.0,7,6,14,0,21,0,0,47,77.0,6,2,1,89,True,False,93.0,12,Bad
78,192,3,91,55,0,98,12.0,7,6,57,2,18,3,1,1,,9,1,0,28,True,False,96.0,15,Good
65,79,9,40,11,0,77,8.0,6,5,13,1,46,0,2,0,96.0,0,2,1,75,True,True,85.0,9,Bad
69,147,3,65,38,0,100,122.0,7,7,41,4,44,1,4,51,73.0,3,3,1,46,False,False,93.0,18,Bad
85,371,1,141,24,0,100,122.0,7,7,25,2,28,0,0,14,56.0,5,2,1,70,False,False,96.0,17,Good
73,206,7,97,28,0,97,23.0,7,6,31,1,35,0,0,34,56.0,4,3,0,73,True,False,90.0,22,Good
58,138,15,65,9,6,60,14.0,7,2,17,0,60,0,0,38,,3,1,0,80,True,False,53.0,13,Bad
88,206,7,83,23,0,100,122.0,7,7,25,2,44,23,0,18,89.0,1,2,0,60,False,False,92.0,15,Good
84,373,16,107,32,0,100,122.0,7,7,32,0,38,0,1,14,30.0,7,5,0,67,False,False,100.0,21,Good
69,117,7,34,8,0,89,44.0,7,6,9,1,78,0,2,0,94.0,0,3,1,75,True,False,89.0,6,Good
56,246,7,83,18,1,77,3.0,3,3,23,1,36,35,0,49,94.0,3,1,1,80,True,True,78.0,18,Bad
62,262,2,93,36,0,100,122.0,7,7,37,1,35,19,0,92,56.0,13,5,8,100,False,False,97.0,37,Good
61,150,9,36,5,0,83,11.0,6,6,6,2,33,0,0,69,74.0,3,2,1,100,True,True,83.0,6,Good
71,164,10,81,12,0,100,122.0,7,7,12,1,33,0,0,83,40.0,5,2,2,78,False,False,100.0,9,Bad
75,254,4,60,9,0,100,122.0,7,7,9,2,44,0,1,60,95.0,2,2,0,80,False,False,100.0,7,Good
63,327,13,166,14,1,94,5.0,2,2,16,0,13,5,0,0,,1,1,0,27,True,True,88.0,4,Bad
83,92,2,41,18,0,100,122.0,7,7,19,7,32,35,0,13,92.0,7,2,0,69,False,False,95.0,13,Bad
82,191,9,77,31,0,90,22.0,7,6,31,1,16,0,1,7,82.0,4,1,0,42,True,False,100.0,13,Good
62,275,1,87,27,0,90,30.0,7,6,30,4,33,1,3,57,54.0,7,5,3,76,True,False,90.0,22,Good
66,272,2,95,44,0,100,122.0,7,7,49,3,29,0,4,63,64.0,16,4,6,80,False,False,90.0,39,Good
54,123,6,54,21,0,88,4.0,6,6,26,3,42,0,0,63,45.0,4,3,1,78,True,True,81.0,20,Good
87,204,1,78,45,0,100,122.0,7,7,46,2,59,14,0,1,95.0,3,2,0,50,False,False,98.0,23,Bad
65,157,6,44,13,0,93,30.0,7,5,14,4,36,4,1,23,80.0,3,2,1,67,True,False,93.0,9,Bad
55,313,21,119,18,1,64,3.0,6,4,22,0,36,0,1,55,56.0,6,2,5,75,True,True,82.0,16,Bad
90,320,8,85,8,0,100,122.0,7,7,8,1,25,12,0,2,,2,2,1,67,False,False,100.0,5,Good
